days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
150	21-Jun	8062477	8023948	38521	2	622	0	8348	0	289	0	369	2	509	2	252	1	870	1	1083		
151	22-Jun	8063034	8024669	38298	23	645	0	8348	10	299	0	369	4	513	23	275	7	877	0	1083		
152	23-Jun	8063976	8024398	39539	14	659	0	8348	0	299	0	369	3	516	14	289	2	879	6	1089		
153	24-Jun	8064383	8024076	40301	0	659	0	8348	1	300	0	369	0	516	0	289	2	881	3	1092		
154	25-Jun	8064627	8024724	39874	10	669	0	8348	1	301	0	369	1	517	10	299	4	885	3	1095		
155	26-Jun	8065113	8024223	40880	0	669	0	8348	2	303	0	369	2	519	0	299	3	888	3	1098		
156	27-Jun	8065615	8024978	40629	1	670	0	8348	1	304	0	369	1	520	1	300	0	888	4	1102		
157	28-Jun	8066030	8025462	40528	1	671	0	8348	23	327	0	369	5	525	1	301	1	889	9	1111		
158	29-Jun	8066220	8026535	39669	2	673	0	8348	5	332	0	369	4	529	2	303	2	891	1	1112		
159	30-Jun	8066808	8027028	39770	1	674	0	8348	3	335	0	369	2	531	1	304	1	892	2	1114		
160	1-Jul	8066545	8028710	37763	23	697	0	8348	7	342	0	369	4	535	23	327	5	897	10	1124		
161	2-Jul	8066677	8028608	38042	5	702	0	8348	7	349	2	371	1	536	5	332	4	901	3	1127		
162	3-Jul	8066928	8028592	38306	3	705	0	8348	15	364	1	372	1	537	3	335	2	903	5	1132		
163	4-Jul	8067199	8028724	38423	7	712	0	8348	7	371	7	379	0	537	7	342	4	907	20	1152		
164	5-Jul	8067782	8028958	38742	9	721	28	8376	5	376	17	396	2	539	7	349	3	910	11	1163		
165	6-Jul	8068531	8029347	39108	16	737	0	8376	24	400	16	412	2	541	15	364	2	912	1	1164		
166	7-Jul	8068939	8029542	39291	14	751	39	8415	11	411	23	435	1	542	7	371	7	919	4	1168		
167	8-Jul	8069291	8029106	40032	22	773	75	8490	13	424	12	447	1	543	5	376	19	938	6	1174		
168	9-Jul	8069245	8027459	41574	40	813	83	8573	7	431	28	475	3	546	24	400	18	956	9	1183		
169	10-Jul	8069064	8026949	41868	34	847	116	8689	9	440	38	513	4	550	11	411	24	980	11	1194		
170	11-Jul	8068778	8024799	43752	25	872	118	8807	11	451	35	548	2	552	13	424	13	993	10	1204		
171	12-Jul	8067535	8023106	44204	35	907	116	8923	5	456	12	560	2	554	7	431	31	1024	17	1221		
172	13-Jul	8065995	8022286	43422	47	954	118	9041	9	465	56	616	2	556	9	440	42	1066	4	1225		
173	14-Jul	8062767	8020919	41573	46	1000	112	9153	9	474	48	664	0	556	11	451	37	1103	12	1237		
174	15-Jul	8059966	8017475	42259	17	1017	120	9273	8	482	52	716	2	558	5	456	14	1117	14	1251		
175	16-Jul	8057202	8016644	40194	65	1082	114	9387	26	508	71	787	8	566	9	465	58	1175	13	1264		
176	17-Jul	8057262	8018472	38454	57	1139	139	9526	9	517	62	849	1	567	9	474	48	1223	11	1275		
177	18-Jul	8056492	8018383	37767	61	1200	147	9673	7	524	53	902	1	568	8	482	54	1277	11	1286		
178	19-Jul	8055769	8018395	36845	98	1298	195	9868	12	536	93	995	6	574	26	508	79	1356	20	1306		
179	20-Jul	8055019	8019956	34584	71	1369	219	10087	21	557	88	1083	1	575	9	517	63	1419	7	1313		
180	21-Jul	8053098	8020627	32033	59	1428	177	10264	22	579	93	1176	1	576	7	524	54	1473	25	1338		
181	22-Jul	8051359	8021191	29657	108	1536	144	10408	21	600	106	1282	1	577	12	536	99	1572	20	1358		
182	23-Jul	8048897	8020751	27569	116	1652	197	10605	26	626	88	1370	4	581	21	557	89	1661	36	1394		
183	24-Jul	8046476	8020448	25469	118	1770	155	10760	15	641	124	1494	2	583	22	579	94	1755	29	1423		
